Timestamp,How busy are you?,How happy are you with that level of business?,Do you have time to get dinner with a friend tonight?,How do you spend your time? (morning) [00:00 - 01:00],How do you spend your time? (morning) [01:00 - 02:00],How do you spend your time? (morning) [02:00 - 03:00],How do you spend your time? (morning) [03:00 - 04:00],How do you spend your time? (morning) [04:00 - 05:00],How do you spend your time? (morning) [05:00 - 06:00],How do you spend your time? (morning) [06:00 - 07:00],How do you spend your time? (morning) [07:00 - 08:00],How do you spend your time? (morning) [08:00 - 09:00],How do you spend your time? (morning) [09:00 - 10:00],How do you spend your time? (morning) [10:00 - 11:00],How do you spend your time? (morning) [11:00 - 12:00],How do you spend your time? (afternoon) [12:00 - 13:00],How do you spend your time? (afternoon) [13:00 - 14:00],How do you spend your time? (afternoon) [14:00 - 15:00],How do you spend your time? (afternoon) [15:00 - 16:00],How do you spend your time? (afternoon) [16:00 - 17:00],How do you spend your time? (afternoon) [17:00 - 18:00],How do you spend your time? (afternoon) [18:00 - 19:00],How do you spend your time? (afternoon) [19:00 - 20:00],How do you spend your time? (afternoon) [20:00 - 21:00],How do you spend your time? (afternoon) [21:00 - 22:00],How do you spend your time? (afternoon) [22:00 - 23:00],How do you spend your time? (afternoon) [23:00 - 00:00],What would you change about how you spend your time?,Comment or suggestions on this survey
1/31/2017 13:39:49,3,6,Yes,"Socializing, relaxing","Personal care (eating, chores etc)",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,"Socializing, relaxing",In class,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)",Exercise,"Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",,
1/31/2017 13:41:11,7,4,No,"Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal care (eating, chores etc)",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups",,"for the record, my ""other"" includes/solely consists of volunteer work/personal projects."
1/31/2017 14:11:57,5,4,Yes,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Psetting, studying, class projects",In class,In class,"Personal care (eating, chores etc)",In class,In class,Exercise,Exercise,"Paid work, UROP","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing","Socializing, relaxing","Personal care (eating, chores etc)",,
1/31/2017 15:46:12,6,3,Maybe,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Exercise,"Personal care (eating, chores etc)","Psetting, studying, class projects","Paid work, UROP",In class,"Personal care (eating, chores etc)",In class,In class,"Psetting, studying, class projects",Exercise,Exercise,Exercise,"Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,"more socializing, less psetting :/ ",maybe clarify if in semester vs. iap (i spend my time a little differently during iap with relation to class/work)
1/31/2017 17:38:13,6,5,Maybe,"Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,In class,In class,In class,In class,In class,Exercise,Exercise,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","i wish i didn't have so much work to do.  if so, i'd socialize more often and hopefully still be able to sleep sooner",
1/31/2017 18:24:07,5,2,Maybe,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,In class,In class,In class,In class,In class,In class,"Socializing, relaxing","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Personal care (eating, chores etc)",Other,"Psetting, studying, class projects","Psetting, studying, class projects","Work more efficiently and earlier in the day to have more sleep. Exercise on a regular basis, not just when I can.","You should allow for multiple answers for each time since psetting or work can also be related to socializing. Cooking and sleep is almost always social, and depending on the day the schedule varies."
1/31/2017 18:52:12,5,2,No,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects",more fun stuff,u r a cool dude
2/1/2017 11:02:56,5,6,No,"Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",Exercise,In class,"Psetting, studying, class projects","Personal care (eating, chores etc)","Socializing, relaxing","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",Other,Other,Better sleep schedule - sleep 12 - 8:30am,
2/2/2017 17:15:28,3,2,Yes,"Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Personal care (eating, chores etc)","Personal care (eating, chores etc)",Sleep,Sleep,Sleep,Sleep,Sleep,"Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",,
2/2/2017 17:15:39,5,4,Maybe,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)",In class,In class,In class,In class,In class,"Paid work, UROP","Paid work, UROP","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing",Would sleep more :).,Allow multiple options(Time is sometimes spent differently during different days and during different levels of business
2/2/2017 17:17:17,6,5,Yes,"Personal projects, student groups","Personal projects, student groups","Personal projects, student groups",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Paid work, UROP","Paid work, UROP","Paid work, UROP","Personal care (eating, chores etc)","Socializing, relaxing","Paid work, UROP","Paid work, UROP","Paid work, UROP","Personal care (eating, chores etc)","Socializing, relaxing","Socializing, relaxing","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups",Spend more time on projects and less relaxing,
2/2/2017 17:17:42,5,3,No,"Socializing, relaxing","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",I wish I spent more time sleeping. I also wish that I got up earlier and went to sleep earlier.,
2/2/2017 17:21:46,5,4,Yes,"Personal care (eating, chores etc)","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Paid work, UROP","Paid work, UROP","Personal projects, student groups","Socializing, relaxing","Personal care (eating, chores etc)","Socializing, relaxing","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups",I would like more time to pursue personal creative projects,
2/2/2017 17:22:02,6,5,No,"Socializing, relaxing","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",,
2/2/2017 17:24:40,7,6,No,"Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)",Other,Other,"Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP",More exercise,"This may not be an accurate representation of how MIT students spend their time, since time spent during IAP is probably very different than during the semester."
2/2/2017 17:30:14,3,5,Yes,"Socializing, relaxing","Personal care (eating, chores etc)",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Personal care (eating, chores etc)",Other,"Psetting, studying, class projects","Paid work, UROP","Paid work, UROP","Paid work, UROP","Personal projects, student groups","Personal projects, student groups","Socializing, relaxing","Socializing, relaxing","I should really exercise. And I should spend more time on schoolwork (during term) / personal projects and less on video games (categorized under ""Socializing, relaxing"").","The hours just disappear, every day, they pass, and we never have enough, it seems. I look forward to seeing your analysis of the results."
2/2/2017 17:40:33,6,1,No,"Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Psetting, studying, class projects","Psetting, studying, class projects",In class,In class,In class,In class,In class,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)",In class,In class,In class,"Psetting, studying, class projects","Psetting, studying, class projects",Less time psetting and in class.,You need to keep in mind people's schedules are different during IAP (when you sent this survey out) and during the semester.
2/2/2017 17:48:56,7,1,Maybe,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,In class,In class,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups",I wanna quit my job so much,
2/2/2017 18:56:42,4,6,Yes,"Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,In class,In class,In class,In class,"Socializing, relaxing",Exercise,"Personal care (eating, chores etc)","Socializing, relaxing","Personal care (eating, chores etc)","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",More efficient psetting,
2/2/2017 18:57:55,5,5,Yes,"Socializing, relaxing","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,In class,In class,In class,Sleep,Sleep,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects",,
2/2/2017 19:54:46,5,4,Yes,"Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,"Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",want to make more time for personal projects,
2/2/2017 20:13:15,5,6,Yes,"Personal care (eating, chores etc)","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,In class,In class,Exercise,"Psetting, studying, class projects","Psetting, studying, class projects","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing",I'd like to spend more of it UROPing or working on another paid job.,
2/2/2017 20:53:37,4,6,Yes,"Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing","Psetting, studying, class projects","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",I would like to do slightly more work. ,
2/2/2017 22:35:54,5,5,Yes,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)",In class,In class,In class,"Paid work, UROP","Personal projects, student groups","Personal care (eating, chores etc)","Psetting, studying, class projects","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal projects, student groups",,
2/3/2017 6:24:57,3,5,Yes,"Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)",In class,"Personal care (eating, chores etc)","Socializing, relaxing","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing","Socializing, relaxing",I'd like to switch to psetting before midnight and sleeping more at night; my current sleep schedule is untenable.,
2/4/2017 12:02:24,5,5,Yes,"Socializing, relaxing","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",,
2/5/2017 15:56:42,3,6,Yes,Other,Other,Other,Sleep,Sleep,Sleep,Sleep,Sleep,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Masturbate more and sleep less,
2/5/2017 15:58:48,4,3,Yes,"Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,"Personal care (eating, chores etc)",In class,In class,"Socializing, relaxing","Socializing, relaxing",Exercise,"Socializing, relaxing","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",Do work at a time that isn't really late,Comment
2/5/2017 16:07:46,6,5,Yes,"Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,In class,In class,"Personal care (eating, chores etc)","Paid work, UROP","Paid work, UROP","Socializing, relaxing","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing","Psetting, studying, class projects",,
2/5/2017 16:08:00,5,7,Yes,"Personal projects, student groups","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",Not too much. I like the way I live.,
2/5/2017 16:10:03,7,2,No,"Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Paid work, UROP",In class,In class,In class,In class,In class,In class,"Psetting, studying, class projects",Exercise,Exercise,Exercise,"Personal care (eating, chores etc)","Paid work, UROP","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","I would love not having as much work as I do, but sadly I'm in a sport which takes up a lot of time, so all of my free time goes to psetting. ",
2/5/2017 16:13:56,7,7,No,"Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)",Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Socializing, relaxing","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)",,
2/5/2017 16:17:49,3,7,Yes,"Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Other,Other,"Personal care (eating, chores etc)",Other,Other,Other,Other,"Personal care (eating, chores etc)",Sleep,Sleep,Sleep,Sleep,Sleep,,
2/5/2017 16:23:04,6,6,No,"Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,In class,In class,In class,"Psetting, studying, class projects","Psetting, studying, class projects","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP",,
2/5/2017 16:37:11,2,5,Yes,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",More reading would be cool,wat are these questions. socializing and relaxing can be very different.
2/5/2017 18:18:43,4,2,Yes,"Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups",Exercise,"Personal projects, student groups","Personal projects, student groups","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",,
2/5/2017 18:23:47,5,3,Yes,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)",In class,In class,"Personal care (eating, chores etc)",In class,"Socializing, relaxing","Socializing, relaxing","Psetting, studying, class projects",Other,"Personal care (eating, chores etc)",In class,In class,In class,"Personal care (eating, chores etc)",Sleep,More time relaxing and socializing,
2/5/2017 18:38:01,7,7,Maybe,"Socializing, relaxing","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,"Personal projects, student groups","Paid work, UROP",In class,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",Sleep,"Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing","Personal projects, student groups",I wish I were more productive.,
2/5/2017 18:45:43,6,6,Yes,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Psetting, studying, class projects","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Personal projects, student groups",In class,In class,"Psetting, studying, class projects","Psetting, studying, class projects","Paid work, UROP","Paid work, UROP",Exercise,"Socializing, relaxing","Socializing, relaxing",In class,In class,In class,Less netflix ,
2/5/2017 19:29:44,5,3,Yes,"Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal care (eating, chores etc)","Personal care (eating, chores etc)","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP",,
2/5/2017 21:48:04,6,7,No,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Exercise,Exercise,"Personal care (eating, chores etc)",In class,In class,In class,"Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Personal projects, student groups",Sleep,,
2/5/2017 21:55:37,5,3,Yes,"Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,"Psetting, studying, class projects","Personal care (eating, chores etc)","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Personal care (eating, chores etc)","Personal projects, student groups","Socializing, relaxing","Socializing, relaxing","Psetting, studying, class projects",,
2/6/2017 0:28:26,7,7,Yes,"Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,In class,In class,In class,In class,"Psetting, studying, class projects","Socializing, relaxing","Personal care (eating, chores etc)","Socializing, relaxing","Socializing, relaxing","Psetting, studying, class projects","Socializing, relaxing","Psetting, studying, class projects",,
2/6/2017 0:33:26,6,6,Yes,"Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,In class,"Personal care (eating, chores etc)","Personal care (eating, chores etc)",In class,In class,"Socializing, relaxing","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects",Exercise,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",Be less busy so I have less underlying stress all the time.,
2/6/2017 8:10:25,3,7,Yes,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)",Other,Other,"Socializing, relaxing","Socializing, relaxing",Other,Other,"Socializing, relaxing",Sleep,Sleep,"Socializing, relaxing",Other,Other,Other,"Socializing, relaxing","Socializing, relaxing",Nothing,Will probably get a lot of outliers bc the email was sent yesterday on an iap weekend